,DISTID,urban,nightlight,shareagri,district_hospital,foodmarket_time,microfinance_aid,news_tvset,road_aid,ruggedness,project_any,watersource_time,suitability_rw_wheat,affected_opium,watersupply_aid,madrassa,total_markets,anybase,religious_involved,electricity_aid,project_agriculture
0,101,1.0,43.47823,0.011435448,1.0,1.7777778,0.23255815,0.975,0.62222224,216547.23679727426,0.6687243,0.47098213,0.8587079641220965,0.0,0.7111111,0.00047758914,0.0,1.0,0.3116883,0.06818182,0.07638889
1,102,0.0,7.3052344,0.09309936,1.0,2.0,0.0,0.0,1.0,134621.50574712644,0.9285714,0.9,0.888185883901482,0.0,0.6666667,0.0,0.0,0.0,0.2173913,0.0,0.14285715
2,103,0.0,4.661049,0.07,1.0,1.5,0.5,0.9166667,0.5,310701.15946348733,0.7037037,1.35,0.8741986794918648,0.0,0.5,0.0,0.0,0.0,0.5185185,0.5,0.14814815
3,105,0.0,4.457302,0.033333335,1.0,2.0,0.0,1.0,0.0,483129.0928270042,0.75,0.2,0.8597636977316008,0.0,1.0,0.0,0.0,0.0,0.33333334,0.0,0.0
4,107,0.0,9.670153,0.10972222,1.0,2.0,1.0,0.8333333,0.0,404816.7785808147,0.962963,6.4,0.7195605674260224,0.0,0.0,0.0,0.0,0.0,0.4814815,0.0,0.5925926
5,108,0.0,4.795228,0.22360067,1.0,1.5,0.0,0.9166667,1.0,165231.35794871795,0.56363636,0.3,0.7060289598114149,0.0,1.0,0.0,0.0,0.0,0.2244898,0.0,0.21818182
6,109,0.0,3.4422479,0.4184028,1.0,2.0,0.0,0.9166667,1.0,404939.3912068192,0.85,1.375,0.839886223233109,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.5
7,110,0.0,11.980822,0.047743056,1.0,2.25,0.2,0.5833333,0.4,389328.15625,0.9117647,0.74,0.7605447535111683,0.0,0.6,0.0,0.0,0.0,0.4375,0.0,0.029411765
8,112,0.0,0.6012554,0.18339439,0.25,1.3333334,0.0,1.0,0.75,336567.16098945664,0.64285713,0.625,0.6724807281336305,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5714286
9,201,0.27272728,2.8210227,0.100462325,1.0,2.1818182,0.0,0.7222222,0.18181819,70806.75105485233,1.0,3.1296296,0.8241052919745853,0.0,0.18181819,0.00095693785,0.0,0.0,0.20588236,0.0,0.47058824
10,202,0.0,0.77298856,0.04492611,1.0,1.9411764,0.0625,0.625,0.11764706,543253.2969411765,0.9444444,4.550296,0.6599288840445993,0.0,0.0,0.0050179213,0.0,0.0,0.24528302,0.125,0.4814815
11,203,0.0,0.0,0.07965368,1.0,2.0,0.0,0.8333333,0.25,536037.4061646508,0.6060606,6.725,0.6420205520561557,0.0,0.0,0.0,0.0,0.0,0.15384616,0.0,0.3939394
12,204,0.0,0.023559108,0.07724278,1.0,2.0,0.0,0.65,0.071428575,276793.5363036304,0.86538464,6.172662,0.5384126833534019,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.25
13,205,0.0,0.014105058,0.28508773,0.75,2.0,0.0,0.3611111,0.0,178710.9628318584,0.86538464,2.85,0.54309171123998,0.0,0.0,0.009259259,1.0,0.0,0.44444445,0.0,0.32692307
14,207,0.0,2.627232,0.052269693,1.0,2.1666667,0.083333336,0.5833333,0.16666667,369677.02894736844,1.0,3.2833333,0.7237581879366201,0.0,0.083333336,0.0015873016,0.0,0.0,0.22222222,0.0,0.42857143
15,301,0.75,4.769557,0.06899044,1.0,1.9722222,0.5277778,0.974359,0.16666667,593009.7175925926,0.7183099,4.6525426,0.7838970655358782,0.0,0.1388889,0.004605544,0.0,0.0,0.109375,0.083333336,0.35211268
16,302,0.0,2.0345237,0.17639573,1.0,2.0,0.6666667,0.7692308,0.33333334,393335.7796540362,0.4642857,3.0833333,0.523612611547895,0.0,0.16666667,0.0,0.0,0.0,0.11111111,0.0,0.125
17,303,0.0,0.31072998,0.16160715,0.0,2.5,0.0,0.5833333,0.5,341865.79101123597,0.6,9.15,0.28541987815618275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,304,0.0,0.045438346,0.3265306,1.0,2.0,0.0,1.0,0.33333334,550924.5050666666,1.0,14.1,0.2700536523393871,0.0,0.0,0.0,0.0,0.0,0.037037037,0.33333334,0.78571427
19,305,0.0,0.009320333,0.19559523,0.5,3.0,0.0,0.9166667,0.5,644518.1119571929,0.775,11.7,0.34068745176777854,0.0,0.0,0.0,0.0,0.0,0.21052632,1.0,0.7
20,306,0.0,0.0,0.31243238,0.0,2.5,0.0,1.0,0.0,17211.31493839836,0.64285713,10.4375,0.21271644771734263,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.52
21,307,0.0,0.0,0.6020833,0.0,3.5,0.0,1.0,0.0,562133.8977835723,1.0,8.2,0.24225999505924423,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,308,0.0,15.815828,0.20106383,1.0,2.0,0.2,0.5555556,0.2,35579.1269035533,0.625,2.38,0.833112179989425,0.0,0.0,0.0,0.0,1.0,0.12727273,0.0,0.08928572
23,309,0.0,0.30513394,0.8625,0.0,4.0,0.0,0.75,1.0,103282.1064690027,0.42857143,4.75,0.6556138636327675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,310,0.0,6.3435755,0.24333113,1.0,2.0,0.25,0.8888889,0.0,273647.1087902524,0.65384614,1.8,0.7190898398224699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115384616
25,401,0.47619048,1.4596436,0.23412699,1.0,2.0952382,0.0,0.375,1.0,548026.8038958197,0.9166667,1.1904762,0.6805055963809976,0.0,1.0,0.0,0.0,0.0,0.18181819,0.47619048,0.41666666
26,402,0.0,0.0,0.51056546,0.5,2.25,0.0,0.083333336,0.75,404641.51928918593,0.72,1.2,0.18142167001120524,0.0,0.625,0.01010101,0.0,0.0,0.13043478,0.125,0.28
27,403,0.0,0.0,0.37777779,1.0,3.0,0.0,0.125,0.33333334,358118.96276405297,0.5925926,3.586207,0.1607429480368652,0.06666667,0.33333334,0.0,0.0,0.0,0.0,0.6666667,0.2962963
28,404,0.0,0.0,0.44969434,0.27272728,4.5755396,0.0,0.26190478,0.19463088,380692.6686288938,0.7941176,3.7183099,0.39473444489332354,0.026845638,0.19463088,0.0,0.0,0.0,0.14925373,0.06711409,0.46268657
29,405,0.0,0.0,0.4791667,1.0,4.0,0.0,0.33333334,1.0,865459.1775726684,0.9,3.6,0.4793108891455632,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.175
30,406,0.0,0.08460635,0.42533335,1.0,3.4,0.0,0.43333334,0.4,247478.94061302682,0.90909094,2.02,0.7540163001704647,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.54545456
31,407,0.0,0.17548257,0.4542082,0.33333334,3.3846154,0.0,0.46666667,0.23076923,246504.94677419355,0.875,1.5076923,0.8428000060987461,0.0,0.25,0.002118644,0.0,0.0,0.23214285,0.0,0.53571427
32,408,0.0,0.031688437,0.50981295,0.75,2.857143,0.0,0.3888889,0.2857143,357898.65314136125,0.88235295,1.8,0.6510845580303353,0.0,0.14285715,0.012189055,0.0,0.0,0.121212125,0.0,0.47058824
33,409,0.0,0.0,0.30126488,0.5,3.625,0.0,0.3888889,0.125,279493.85410654574,0.8888889,2.8101265,0.8781510630511499,0.0,0.125,0.008011583,0.0,0.0,0.074074075,0.0,0.53846157
34,501,0.125,0.29643577,0.3385299,0.9375,1.75,0.2,0.41666666,0.75,155254.96788194444,0.8863636,0.5875,0.8204654792364975,0.0,0.75,0.0,0.0,0.0,0.2840909,0.3125,0.45348838
35,502,0.0,0.0,0.43699405,0.6666667,2.5833333,0.0,0.29166666,0.33333334,229060.23037455106,0.9459459,0.44166666,0.8288801700565772,0.008333334,0.41666666,0.0,0.0,0.0,0.2173913,0.083333336,0.37142858
36,503,0.0,0.034676664,0.45678836,0.9285714,2.4,0.0,0.027777778,0.53333336,278626.56091370556,0.90909094,0.44295302,0.770944648225201,0.0,0.6,0.0,0.0,0.0,0.5,0.2,0.4090909
37,504,0.0,0.0,0.435,1.0,2.0,0.0,0.0,1.0,175968.48226351352,0.88235295,0.0,0.7325009839227228,0.0,1.0,0.0,0.0,0.0,0.2647059,0.5,0.5
38,505,0.0,0.037848607,0.35129464,1.0,2.375,0.0,0.5208333,0.875,277386.63740458013,0.95384616,0.4,0.6826850240718577,0.0,0.75,0.0,0.0,0.0,0.45901638,0.25,0.64615387
