,distid,total_population
0,101,3289000
1,102,52600
2,103,50800
3,104,29500
4,105,74300
5,106,32700
6,107,80000
7,108,118100
8,109,35600
9,110,53900
10,111,13900
11,112,53900
12,113,22300
13,114,22800
14,115,20900
15,201,62400
16,202,66200
17,203,22800
18,204,109300
19,205,78600
20,206,36700
21,207,43800
22,301,171200
23,302,62100
24,303,25300
25,304,39900
26,305,94100
27,306,24000
28,307,39700
29,308,100800
30,309,30200
31,310,44300
32,401,39100
33,402,51600
34,403,36000
35,404,115900
36,405,30200
37,406,82100
38,407,112900
39,408,55400
40,409,44400
41,501,102700
42,502,43100
43,503,85200
44,504,23400
45,505,73400
46,506,19800
47,507,25500
48,601,157600
49,602,30900
50,603,18400
51,604,91900
52,605,28000
53,606,79800
54,607,171600
55,608,48900
56,609,56200
57,610,28900
58,611,26700
59,612,35500
60,613,138800
61,614,121300
62,615,47500
63,616,12200
64,617,17500
65,618,37500
66,619,19600
67,701,81000
68,702,104600
69,703,5300
70,704,34500
71,705,27100
72,706,34000
73,707,25900
74,708,48500
75,709,22100
76,710,54200
77,711,61200
78,801,206500
79,802,117100
80,803,29900
81,804,64400
82,805,126800
83,806,58600
84,807,41400
85,808,39200
86,809,67200
87,810,97500
88,811,14300
89,812,22700
90,813,58300
91,814,43700
92,815,19900
93,816,26500
94,817,73600
95,818,74700
96,819,53400
97,820,39200
98,821,110500
99,822,50600
100,901,126000
101,902,95300
102,903,94000
103,904,32400
104,905,69300
105,1001,32400
106,1002,19900
107,1003,21300
108,1004,16500
109,1005,26800
110,1006,18200
111,1007,28500
112,1008,26600
113,1009,30100
114,1010,53100
115,1011,29400
116,1012,34700
117,1013,30800
118,1014,34000
119,1015,26500
120,1101,64700
121,1102,78600
122,1103,36500
123,1104,9300
124,1105,7700
125,1106,14500
126,1107,13500
127,1108,28000
128,1109,27000
129,1110,25700
130,1111,16100
131,1112,38500
132,1113,50800
133,1114,15600
134,1115,76200
135,1116,59900
136,1117,22500
137,1118,37000
138,1119,16100
139,1120,21800
140,1121,25600
141,1122,33600
142,1123,27300
143,1124,29100
144,1125,21300
145,1126,51300
146,1127,25000
147,1128,31500
148,1201,219000
149,1202,34100
150,1203,57300
151,1204,27500
152,1205,36900
153,1206,45400
154,1207,34200
155,1208,159400
156,1209,76300
157,1210,43200
158,1211,26200
159,1212,65200
160,1213,30000
161,1214,31100
162,1215,13400
163,1216,22600
164,1217,11900
165,1301,203600
166,1302,26800
167,1303,57300
168,1304,65000
169,1305,29400
170,1306,29600
171,1307,24800
172,1308,61300
173,1309,67200
174,1310,51200
175,1311,167200
176,1312,31100
177,1313,16100
178,1314,9900
179,1315,23200
180,1401,304600
181,1402,225800
182,1403,67500
183,1404,71400
184,1405,45800
185,1406,156300
186,1407,82400
187,1501,100500
188,1502,40200
189,1503,62900
190,1504,69400
191,1505,44300
192,1506,38800
193,1507,12700
194,1601,368100
195,1602,43700
196,1603,42600
197,1604,38500
198,1605,101900
199,1606,116300
200,1607,78700
201,1608,89200
202,1609,110600
203,1610,47300
204,1611,43200
205,1612,65600
206,1613,19400
207,1614,68900
208,1615,11100
209,1701,161700
210,1702,26200
211,1703,47800
212,1704,41700
213,1705,23800
214,1706,73900
215,1707,37500
216,1708,40500
217,1709,13600
218,1710,22600
219,1711,22800
220,1801,78500
221,1802,183500
222,1803,68300
223,1804,138400
224,1805,53100
225,1806,50700
226,1807,73700
227,1808,79100
228,1809,47200
229,1810,19100
230,1811,22500
231,1812,38700
232,1813,49400
233,1814,45800
234,1901,64100
235,1902,71600
236,1903,88400
237,1904,76600
238,1905,53600
239,1906,94500
240,1907,23100
241,2001,436300
242,2002,237800
243,2003,142700
244,2004,97500
245,2005,62000
246,2006,121000
247,2007,91500
248,2008,52900
249,2009,85900
250,2010,55500
251,2011,52200
252,2012,73600
253,2013,29800
254,2014,173800
255,2015,23100
256,2016,44400
257,2101,108400
258,2102,34500
259,2103,42200
260,2104,52000
261,2105,69500
262,2106,29500
263,2107,27100
264,2108,29900
265,2109,27100
266,2110,22700
267,2111,39500
268,2201,54900
269,2202,21800
270,2203,25700
271,2204,23100
272,2205,24700
273,2301,100200
274,2302,114200
275,2303,69300
276,2304,57500
277,2305,79300
278,2306,49500
279,2307,15200
280,2308,88600
281,2309,90400
282,2310,19900
283,2311,85500
284,2312,58100
285,2313,25600
286,2401,491500
287,2402,33700
288,2403,42200
289,2404,60200
290,2405,22200
291,2406,9400
292,2407,57000
293,2408,84700
294,2409,8700
295,2410,11200
296,2411,97800
297,2412,33400
298,2413,32100
299,2414,14600
300,2415,13000
301,2416,83400
302,2501,34300
303,2502,56800
304,2503,31700
305,2504,38300
306,2505,13400
307,2506,16700
308,2507,22900
309,2508,8400
310,2509,25100
311,2510,23400
312,2511,18300
313,2601,99700
314,2602,49700
315,2603,54900
316,2604,57300
317,2605,59400
318,2701,131800
319,2702,58200
320,2703,50000
321,2704,33700
322,2705,88900
323,2706,92200
324,2707,108900
325,2708,26600
326,2709,31800
327,2710,35100
328,2801,80900
329,2802,28700
330,2803,35300
331,2804,85000
332,2805,66300
333,2806,106000
334,2807,23300
335,2901,48600
336,2902,29100
337,2903,24500
338,2904,22500
339,2905,3400
340,2906,7600
341,2907,11800
342,2908,12100
343,2909,33800
344,2910,33900
345,2911,53700
346,2912,18700
347,2913,12100
348,2914,22500
349,2915,24200
350,2916,23300
351,2917,2000
352,2918,16900
353,2919,13100
354,3001,13200
355,3002,24500
356,3003,19100
357,3004,19200
358,3005,15000
359,3006,10800
360,3007,7700
361,3008,31400
362,3101,150700
363,3102,98400
364,3103,77800
365,3104,48900
366,3105,48100
367,3106,53000
368,3107,55100
369,3201,133700
370,3202,23400
371,3203,58000
372,3204,23600
373,3205,39800
374,3206,54800
375,3207,43400
376,3208,31000
377,3209,68900
378,3210,21500
379,3211,25500
380,3212,9900
381,3213,13300
382,3301,18300
383,3302,13400
384,3303,38900
385,3304,14400
386,3305,10700
387,3306,17400
388,3307,22200
389,3401,39600
390,3402,65800
391,3403,46300
392,3404,34100
393,3405,45300
394,3406,32600
395,3407,60900
396,3408,49300
397,3409,64600
