,distid,provid,displaced_activity,not_in_origin_province,unique_devices,ping,displaced_hhs,displaced_persons,_survey
0,101,1,128621,91835,8103,1610361,2752,18689,3
1,102,1,908,376,26,8329,12,86,3
2,103,1,129,48,4,D,,,1
3,104,1,339,114,5,391,,,1
4,105,1,282,93,12,3686,520,3967,3
5,106,1,23,23,0,23,,,1
6,107,1,7402,2151,148,18835,,,1
7,108,1,6018,1923,94,9020,32,224,3
8,109,1,6455,322,109,7887,,,1
9,110,1,45412,5936,660,157994,413,3038,3
10,111,1,320,39,6,352,,,1
11,112,1,352,101,8,679,,,1
12,113,1,29,0,0,34,0,0,3
13,114,1,19,0,1,199,,,1
14,115,1,76,6,2,84,,,1
15,201,2,429,221,11,566,147,1101,3
16,202,2,79,71,4,138,,,1
17,204,2,170,170,16,510,29,217,3
18,205,2,57,54,2,305,,,1
19,207,2,57,39,9,464,,,1
20,301,3,753,565,46,11688,130,904,3
21,302,3,609,536,14,1330,4,20,3
22,303,3,352,352,1,357,,,1
23,304,3,115,77,7,434,0,0,3
24,305,3,204,68,14,743,,,1
25,306,3,2,0,0,2,,,1
26,307,3,5,5,0,5,,,1
27,308,3,470,274,15,1423,187,1431,3
28,309,3,18,18,1,22,,,1
29,310,3,58,33,2,101,,,1
30,401,4,552,480,6,798,268,1905,3
31,402,4,12,12,0,25,0,0,3
32,403,4,5,5,0,5,57,464,3
33,404,4,2,2,1,17,61,466,3
34,405,4,2,2,0,2,,,1
35,406,4,674,53,6,975,,,1
36,407,4,752,218,3,1096,14,93,3
37,408,4,117,19,3,127,57,413,3
38,409,4,5,5,1,5,,,1
39,501,5,1007,786,24,2618,363,3070,3
40,502,5,20,18,1,20,,,1
41,503,5,307,53,5,465,0,0,3
42,504,5,119,6,0,119,4,32,3
43,505,5,151,147,9,318,81,671,3
44,506,,,,,,4,24,2
45,601,6,1745,1375,104,17578,646,4817,3
46,603,6,25,22,1,25,0,0,3
47,604,6,1070,1070,7,1090,,,1
48,606,6,37,37,4,101,,,1
49,607,6,273,264,32,1953,,,1
50,608,6,47,39,6,195,34,42,3
51,609,6,195,148,5,280,,,1
52,610,6,0,0,0,45,41,355,3
53,611,6,7,1,0,31,,,1
54,612,6,1,0,0,1,,,1
55,613,6,200,149,15,791,520,3967,3
56,614,6,113,33,6,487,0,0,3
57,615,6,57,7,8,439,0,0,3
58,616,6,0,0,1,25,0,0,3
59,617,6,2,0,0,2,,,1
60,618,6,47,11,3,52,0,0,3
61,619,6,98,0,2,98,,,1
62,701,7,663,640,40,1858,211,1768,3
63,702,7,43,22,2,59,,,1
64,703,7,30,30,0,30,,,1
65,704,7,14,14,0,17,,,1
66,705,7,35,6,0,39,,,1
67,707,7,56,0,2,4566,,,1
68,708,7,85,20,11,1742,,,1
69,709,7,97,0,1,109,,,1
70,710,7,359,11,1,411,,,1
71,711,7,26,26,0,743,,,1
72,801,8,26094,9283,677,128702,789,5701,3
73,802,8,4724,1121,90,9559,665,4982,3
74,803,,,,,,0,0,2
75,804,8,3,1,0,3,3,27,3
76,805,8,65,2,4,364,298,2089,3
77,806,8,713,197,17,2061,0,0,3
78,807,8,123,0,1,204,0,0,3
79,808,,,,,,0,0,2
80,809,8,167,67,7,401,0,0,3
81,810,8,17,6,5,52,,,1
82,811,8,4,4,0,4,,,1
83,812,8,145,22,3,220,,,1
84,813,8,209,17,4,393,,,1
85,814,8,854,535,11,12312,16,140,3
86,815,8,99,0,0,99,,,1
87,816,8,11,11,2,23,,,1
88,817,8,154,24,9,831,0,0,3
89,818,8,100,21,7,419,8,50,3
90,819,8,541,445,8,1013,70,453,3
91,820,8,73,64,3,80,,,1
92,821,8,8162,855,117,16796,293,2089,3
93,822,8,11,10,1,60,0,0,3
94,901,9,861,826,23,8471,289,2059,3
95,902,9,303,226,14,694,0,0,3
96,903,9,17,10,2,484,0,0,3
97,904,9,0,0,0,2,,,1
98,905,9,8,3,5,327,0,0,3
99,1001,10,462,312,26,1956,898,4952,3
100,1002,10,359,22,4,1645,65,413,3
101,1003,10,0,0,0,18,0,0,3
102,1004,10,22,0,1,22,,,1
103,1005,,,,,,0,0,2
104,1006,,,,,,0,0,2
105,1007,10,11,4,0,31,,,1
106,1008,10,30,14,2,62,,,1
107,1009,10,47,6,1,47,,,1
108,1010,10,291,156,3,533,,,1
109,1011,10,89,82,1,135,,,1
110,1012,10,354,296,4,624,13,71,3
111,1013,10,5,5,2,12,6,30,3
112,1014,10,449,80,4,887,,,1
113,1015,10,51,150,1,212,247,1670,3
114,1101,11,468,252,22,2874,821,5796,3
115,1102,11,162,155,19,2535,3,24,3
116,1103,11,8,2,2,28,24,137,3
117,1106,11,4,0,5,311,,,1
118,1107,11,88,18,6,1116,,,1
119,1108,11,65,6,3,220,81,523,3
120,1109,11,189,0,53,6878,,,1
121,1110,11,409,127,35,3333,,,1
122,1111,11,160,9,10,509,,,1
123,1113,11,92,88,9,809,,,1
124,1115,11,1828,1344,27,2352,3,24,3
125,1116,11,116,13,0,476,,,1
126,1117,11,476,45,28,3038,,,1
127,1118,11,12,0,1,46,4,28,3
128,1119,11,1,1,0,1,14,80,3
129,1120,11,0,0,2,45,,,1
130,1121,11,366,29,30,1799,,,1
131,1122,11,0,0,1,9,,,1
132,1124,11,6,1,1,10,,,1
133,1126,11,2,2,0,8,,,1
134,1127,11,0,0,1,19,,,1
135,1201,12,13999,10836,665,45308,358,2322,3
136,1202,12,178,112,19,582,,,1
137,1203,12,124,97,27,1225,8,61,3
138,1204,12,3,0,1,8,7,48,3
139,1205,12,134,10,13,844,7,39,3
140,1206,12,172,25,15,796,29,188,3
141,1207,12,126,42,8,495,3,24,3
142,1208,12,791,558,73,4125,7,50,3
143,1209,12,143,40,14,551,3,18,3
144,1210,12,602,58,13,960,,,1
145,1211,12,158,48,4,227,,,1
146,1212,12,350,60,24,1050,25,158,3
147,1213,12,202,10,14,557,81,523,3
148,1214,12,483,307,40,1880,,,1
149,1215,12,10,0,0,10,,,1
150,1216,12,936,752,48,3201,,,1
151,1217,12,56,0,3,87,,,1
152,1301,13,10488,9524,205,17626,2041,14560,3
153,1302,13,21,21,0,24,,,1
154,1303,13,745,483,11,1072,0,0,3
155,1304,13,429,95,4,557,15,113,3
156,1305,13,11,11,1,82,0,0,3
157,1306,13,156,101,7,925,,,1
158,1307,13,90,0,1,90,,,1
159,1308,13,85,30,19,480,,,1
160,1309,13,197,65,28,980,3,21,3
161,1310,13,281,202,48,2117,,,1
162,1311,13,1065,570,188,16422,62,401,3
163,1312,13,68,46,4,81,,,1
164,1313,13,39,39,6,204,,,1
165,1315,13,18,6,2,75,,,1
166,1401,14,4465,2834,1017,70429,817,6014,3
167,1402,14,1102,428,187,8837,26,159,3
168,1403,14,101,1,19,867,,,1
169,1404,14,3874,191,156,7210,,,1
170,1405,14,405,126,15,1150,7,54,3
171,1406,14,601,169,65,3288,51,381,3
172,1407,14,294,243,13,399,3,12,3
173,1501,15,759,502,322,19742,407,2295,3
174,1502,15,237,6,8,616,,,1
175,1503,15,75,14,1,156,,,1
176,1504,15,21,13,2,316,,,1
177,1505,15,4,4,1,16,13,79,3
178,1506,15,87,16,4,246,,,1
179,1507,15,93,17,68,6356,1759,10440,3
180,1601,16,28998,18915,1216,183961,1132,7218,3
181,1602,16,15536,4659,358,29496,78,459,3
182,1603,16,11,8,0,11,,,1
183,1604,16,305,19,16,541,,,1
184,1605,16,147,33,12,324,,,1
185,1606,16,319,185,11,574,7,36,3
186,1607,16,195,76,12,438,,,1
187,1608,16,66,9,3,100,11,76,3
188,1609,16,8,4,3,102,25,137,3
189,1610,16,15,15,1,22,,,1
190,1611,16,3,0,0,3,,,1
191,1612,16,1684,498,41,5820,207,1308,3
192,1613,16,559,326,38,1481,,,1
193,1614,16,188,153,4,226,,,1
194,1615,16,243,190,16,1018,,,1
195,1701,17,1212,1166,88,10285,1432,8806,3
196,1702,17,55,17,1,97,,,1
197,1703,17,74,1,1,75,,,1
198,1704,17,36,2,5,476,,,1
199,1705,17,6,6,0,7,,,1
200,1706,17,214,177,19,1648,,,1
201,1707,17,58,0,4,134,,,1
202,1708,17,7,7,2,243,821,5796,3
203,1709,17,0,0,2,43,,,1
204,1710,17,172,25,2,172,,,1
205,1711,17,4,0,0,40,0,0,3
206,1801,18,6063,2557,757,50085,924,6154,3
207,1802,18,4775,170,199,11653,66,435,3
208,1803,18,469,10,37,1187,17,94,3
209,1804,18,491,158,92,5457,91,629,3
210,1805,18,112,11,12,386,14,80,3
211,1806,18,33,10,3,49,,,1
212,1807,18,472,70,102,9713,,,1
213,1808,18,1410,385,267,24179,1,7,3
214,1809,18,371,8,25,1839,,,1
215,1810,18,656,131,33,4596,,,1
216,1811,18,1619,202,56,4534,,,1
217,1812,18,4786,2030,349,23878,,,1
218,1813,18,1646,77,69,4358,314,1992,3
219,1814,18,1368,187,48,4243,,,1
220,1901,19,261,201,125,14840,197,1343,3
221,1902,19,82,0,3,429,68,268,3
222,1903,19,84,48,8,546,,,1
223,1904,19,0,0,0,3,73,451,3
224,1905,19,130,112,18,747,566,3278,3
225,1906,19,5,2,9,271,4,0,3
226,1907,19,19,0,0,47,34,42,3
227,2001,20,27843,16228,2778,782886,957,6298,3
228,2002,20,16732,1465,179,20632,727,5199,3
229,2003,20,2287,446,41,5445,275,1838,3
230,2004,20,25,0,6,86,17,126,3
231,2005,20,95,42,2,200,85,341,3
232,2006,20,108,0,3,167,,,1
233,2007,20,0,0,1,10,,,1
234,2008,20,229,30,6,518,,,1
235,2009,20,31,0,6,996,3,30,3
236,2010,20,75,64,1,97,,,1
237,2011,20,120,81,7,180,,,1
238,2012,20,26,0,2,60,0,0,3
239,2013,20,0,0,2,140,,,1
240,2014,20,101,8,40,1377,0,0,3
241,2015,20,0,0,0,7,,,1
242,2016,20,0,0,1,66,,,1
243,2101,21,3322,1773,708,37264,1422,10027,3
244,2102,21,28,28,2,245,,,1
245,2103,21,22,0,0,22,,,1
246,2104,21,111,111,3,230,,,1
247,2105,21,196,72,21,1342,24,149,3
248,2106,21,44,21,8,429,1,0,3
249,2107,21,51,44,10,537,5,40,3
250,2108,21,79,8,18,1089,3,10,3
251,2109,21,185,93,10,356,,,1
252,2110,21,955,124,61,5032,,,1
253,2111,21,220,2,13,452,14,68,3
254,2201,22,6007,5870,340,33534,862,6472,3
255,2203,22,33,33,1,62,,,1
